name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Venice,01/05/2021 05:00:00 AM,,nord,100,overcast clouds,1010,94,286.8,0.31,0.0,14,3.58
Provincia di Genova,01/05/2021 05:00:00 AM,,nord,100,overcast clouds,1011,91,281.21,0.11,0.0,58,1.01
Rome,01/05/2021 05:00:00 AM,,centro_sud,100,overcast clouds,1010,77,288.62,0.0,0.0,108,0.4
Provincia di Ancona,01/05/2021 05:00:00 AM,,centro_nord,92,overcast clouds,1009,86,286.94,0.0,0.0,290,1.14
Milan,01/05/2021 05:00:00 AM,,nord,99,overcast clouds,1010,93,286.08,0.14,0.0,264,1.13
Catanzaro,01/05/2021 05:00:00 AM,,calabria,92,overcast clouds,1013,55,293.52,0.0,0.0,321,2.56
Potenza,01/05/2021 05:00:00 AM,,sud,100,overcast clouds,1011,47,288.74,0.0,0.0,191,3.21
Province of Palermo,01/05/2021 05:00:00 AM,,sicilia,97,overcast clouds,1011,43,291.62,0.0,0.0,158,1.38
L'Aquila,01/05/2021 05:00:00 AM,,centro_sud,99,overcast clouds,1011,68,286.57,0.0,0.0,224,1.1
Provincia di Campobasso,01/05/2021 06:00:00 AM,,centro_sud,100,overcast clouds,1010,58,287.24,0.0,0.0,227,2.72
Valle d'Aosta,01/05/2021 06:00:00 AM,,nord,99,overcast clouds,1011,91,275.81,0.0,0.0,92,1.04
L'Aquila,01/05/2021 06:00:00 AM,,centro_sud,100,overcast clouds,1011,65,286.89,0.0,0.0,219,1.8
Florence,01/05/2021 06:00:00 AM,,centro_nord,100,overcast clouds,1010,88,286.21,0.0,0.0,90,1.11
Trento,01/05/2021 06:00:00 AM,,nord,64,broken clouds,1012,94,283.87,0.12,0.0,45,0.56
Provincia di Ancona,01/05/2021 06:00:00 AM,,centro_nord,86,overcast clouds,1010,86,286.39,0.0,0.0,288,1.22
Province of Turin,01/05/2021 06:00:00 AM,,nord,97,overcast clouds,1010,87,280.65,0.0,0.0,313,1.5
Venice,01/05/2021 06:00:00 AM,,nord,100,overcast clouds,1010,94,286.7,0.31,0.0,13,3.76
Provincia di Genova,01/05/2021 06:00:00 AM,,nord,100,overcast clouds,1010,92,281.03,0.11,0.0,52,1.06
Trieste,01/05/2021 06:00:00 AM,,nord,100,overcast clouds,1010,92,286.24,0.24,0.0,81,2.01
Naples,01/05/2021 06:00:00 AM,,sud,100,overcast clouds,1010,62,291.54,0.0,0.0,144,3.19
Milan,01/05/2021 06:00:00 AM,,nord,99,overcast clouds,1010,94,285.77,0.14,0.0,252,0.62
Province of Palermo,01/05/2021 06:00:00 AM,,sicilia,98,overcast clouds,1012,42,292.11,0.0,0.0,241,0.84
Catanzaro,01/05/2021 06:00:00 AM,,calabria,94,overcast clouds,1012,53,294.12,0.0,0.0,302,1.27
Potenza,01/05/2021 06:00:00 AM,,sud,100,overcast clouds,1012,52,288.53,0.0,0.0,202,3.86
Bologna,01/05/2021 06:00:00 AM,,nord,100,overcast clouds,1010,83,285.42,0.0,0.0,280,1.49
Sardinia,01/05/2021 06:00:00 AM,,sardegna,100,light rain,1008,72,288.06,0.13,0.0,140,1.58
Provincia di Perugia,01/05/2021 06:00:00 AM,,centro_nord,100,overcast clouds,1010,87,286.62,0.0,0.0,290,0.28
Bari,01/05/2021 06:00:00 AM,,sud,100,overcast clouds,1010,75,290.75,0.0,0.0,192,2.18
Rome,01/05/2021 06:00:00 AM,,centro_sud,100,overcast clouds,1010,75,288.77,0.0,0.0,74,1.45
Valle d'Aosta,01/05/2021 07:00:00 AM,,nord,100,overcast clouds,1010,90,275.94,0.0,0.0,100,1.02
