Date,Renewable Generation [GWh],Energy Source
2021-01-03 19:00:00,0.62,Geothermal
2021-01-03 19:00:00,7.33,Hydro
2021-01-03 19:00:00,0.00,Photovoltaic
2021-01-03 19:00:00,2.80,Wind
2021-01-03 20:00:00,1.87,Biomass
2021-01-03 20:00:00,0.62,Geothermal
2021-01-03 20:00:00,6.59,Hydro
2021-01-03 20:00:00,0.00,Photovoltaic
2021-01-03 20:00:00,2.89,Wind
2021-01-03 21:00:00,1.88,Biomass
2021-01-03 21:00:00,0.62,Geothermal
2021-01-03 21:00:00,5.35,Hydro
2021-01-03 21:00:00,0.00,Photovoltaic
2021-01-03 21:00:00,2.78,Wind
2021-01-03 22:00:00,1.80,Biomass
2021-01-03 22:00:00,0.62,Geothermal
2021-01-03 22:00:00,4.56,Hydro
2021-01-03 22:00:00,0.00,Photovoltaic
2021-01-03 22:00:00,2.69,Wind
2021-01-03 23:00:00,1.58,Biomass
2021-01-03 23:00:00,0.62,Geothermal
2021-01-03 23:00:00,4.18,Hydro
2021-01-03 23:00:00,0.00,Photovoltaic
2021-01-03 23:00:00,2.31,Wind
2021-01-04 00:00:00,1.49,Biomass
2021-01-04 00:00:00,0.62,Geothermal
2021-01-04 00:00:00,3.40,Hydro
2021-01-04 00:00:00,0.00,Photovoltaic
2021-01-04 00:00:00,2.05,Wind
2021-01-04 01:00:00,1.48,Biomass
2021-01-04 01:00:00,0.62,Geothermal
2021-01-04 01:00:00,3.16,Hydro
2021-01-04 01:00:00,0.00,Photovoltaic
2021-01-04 01:00:00,1.69,Wind
2021-01-04 02:00:00,1.60,Biomass
2021-01-04 02:00:00,0.62,Geothermal
2021-01-04 02:00:00,3.07,Hydro
2021-01-04 02:00:00,0.00,Photovoltaic
2021-01-04 02:00:00,1.18,Wind
2021-01-04 03:00:00,1.56,Biomass
2021-01-04 03:00:00,0.62,Geothermal
2021-01-04 03:00:00,3.06,Hydro
2021-01-04 03:00:00,0.00,Photovoltaic
2021-01-04 03:00:00,0.92,Wind
2021-01-04 04:00:00,1.60,Biomass
2021-01-04 04:00:00,0.62,Geothermal
2021-01-04 04:00:00,3.37,Hydro
2021-01-04 04:00:00,0.00,Photovoltaic
2021-01-04 04:00:00,0.99,Wind
2021-01-04 05:00:00,1.63,Biomass
2021-01-04 05:00:00,0.62,Geothermal
2021-01-04 05:00:00,3.29,Hydro
2021-01-04 05:00:00,0.00,Photovoltaic
2021-01-04 05:00:00,1.17,Wind
2021-01-04 06:00:00,1.56,Biomass
2021-01-04 06:00:00,0.62,Geothermal
2021-01-04 06:00:00,3.92,Hydro
2021-01-04 06:00:00,0.00,Photovoltaic
2021-01-04 06:00:00,1.12,Wind
2021-01-04 07:00:00,1.64,Biomass
2021-01-04 07:00:00,0.62,Geothermal
2021-01-04 07:00:00,5.58,Hydro
2021-01-04 07:00:00,0.04,Photovoltaic
2021-01-04 07:00:00,1.06,Wind
2021-01-04 08:00:00,1.70,Biomass
2021-01-04 08:00:00,0.62,Geothermal
2021-01-04 08:00:00,6.91,Hydro
2021-01-04 08:00:00,0.74,Photovoltaic
2021-01-04 08:00:00,1.07,Wind
2021-01-04 09:00:00,1.80,Biomass
2021-01-04 09:00:00,0.62,Geothermal
2021-01-04 09:00:00,9.06,Hydro
2021-01-04 09:00:00,2.17,Photovoltaic
2021-01-04 09:00:00,1.20,Wind
2021-01-04 10:00:00,1.76,Biomass
2021-01-04 10:00:00,0.62,Geothermal
2021-01-04 10:00:00,7.93,Hydro
2021-01-04 10:00:00,4.14,Photovoltaic
2021-01-04 10:00:00,1.47,Wind
2021-01-04 11:00:00,1.67,Biomass
2021-01-04 11:00:00,0.62,Geothermal
2021-01-04 11:00:00,6.79,Hydro
2021-01-04 11:00:00,4.17,Photovoltaic
2021-01-04 11:00:00,2.05,Wind
2021-01-04 12:00:00,1.58,Biomass
2021-01-04 12:00:00,0.62,Geothermal
2021-01-04 12:00:00,6.63,Hydro
2021-01-04 12:00:00,4.53,Photovoltaic
2021-01-04 12:00:00,2.23,Wind
2021-01-04 13:00:00,1.49,Biomass
2021-01-04 13:00:00,0.62,Geothermal
2021-01-04 13:00:00,6.35,Hydro
2021-01-04 13:00:00,4.57,Photovoltaic
2021-01-04 13:00:00,2.43,Wind
2021-01-04 14:00:00,1.58,Biomass
2021-01-04 14:00:00,0.62,Geothermal
2021-01-04 14:00:00,5.56,Hydro
2021-01-04 14:00:00,3.47,Photovoltaic
2021-01-04 14:00:00,2.58,Wind
2021-01-04 15:00:00,1.77,Biomass
2021-01-04 15:00:00,0.62,Geothermal
2021-01-04 15:00:00,6.57,Hydro
2021-01-04 15:00:00,1.82,Photovoltaic
2021-01-04 15:00:00,2.33,Wind
2021-01-04 16:00:00,1.88,Biomass
2021-01-04 16:00:00,0.62,Geothermal
2021-01-04 16:00:00,6.99,Hydro
2021-01-04 16:00:00,0.16,Photovoltaic
2021-01-04 16:00:00,2.28,Wind
2021-01-04 17:00:00,2.11,Biomass
2021-01-04 17:00:00,0.62,Geothermal
2021-01-04 17:00:00,7.65,Hydro
2021-01-04 17:00:00,0.00,Photovoltaic
2021-01-04 17:00:00,2.35,Wind
2021-01-04 18:00:00,2.09,Biomass
2021-01-04 18:00:00,0.62,Geothermal
2021-01-04 18:00:00,8.85,Hydro
2021-01-04 18:00:00,0.00,Photovoltaic
2021-01-04 18:00:00,2.35,Wind
2021-01-04 19:00:00,2.10,Biomass
2021-01-04 19:00:00,0.62,Geothermal
2021-01-04 19:00:00,8.47,Hydro
2021-01-04 19:00:00,0.00,Photovoltaic
2021-01-04 19:00:00,2.24,Wind
2021-01-04 20:00:00,1.82,Biomass
2021-01-04 20:00:00,0.62,Geothermal
2021-01-04 20:00:00,7.62,Hydro
2021-01-04 20:00:00,0.00,Photovoltaic
2021-01-04 20:00:00,2.32,Wind
2021-01-04 21:00:00,1.73,Biomass
2021-01-04 21:00:00,0.62,Geothermal
2021-01-04 21:00:00,5.13,Hydro
2021-01-04 21:00:00,0.00,Photovoltaic
2021-01-04 21:00:00,2.43,Wind
2021-01-04 22:00:00,1.66,Biomass
2021-01-04 22:00:00,0.62,Geothermal
2021-01-04 22:00:00,4.45,Hydro
2021-01-04 22:00:00,0.00,Photovoltaic
2021-01-04 22:00:00,2.39,Wind
2021-01-04 23:00:00,1.62,Biomass
2021-01-04 23:00:00,0.62,Geothermal
2021-01-04 23:00:00,4.01,Hydro
2021-01-04 23:00:00,0.00,Photovoltaic
2021-01-04 23:00:00,2.14,Wind
2021-01-05 00:00:00,1.67,Biomass
2021-01-05 00:00:00,0.62,Geothermal
2021-01-05 00:00:00,3.53,Hydro
2021-01-05 00:00:00,0.00,Photovoltaic
2021-01-05 00:00:00,1.93,Wind
2021-01-05 01:00:00,1.60,Biomass
2021-01-05 01:00:00,0.62,Geothermal
2021-01-05 01:00:00,3.33,Hydro
2021-01-05 01:00:00,0.00,Photovoltaic
2021-01-05 01:00:00,1.79,Wind
2021-01-05 02:00:00,1.53,Biomass
2021-01-05 02:00:00,0.62,Geothermal
2021-01-05 02:00:00,3.16,Hydro
2021-01-05 02:00:00,0.00,Photovoltaic
2021-01-05 02:00:00,1.74,Wind
2021-01-05 03:00:00,1.42,Biomass
2021-01-05 03:00:00,0.62,Geothermal
2021-01-05 03:00:00,3.07,Hydro
2021-01-05 03:00:00,0.00,Photovoltaic
2021-01-05 03:00:00,1.79,Wind
2021-01-05 04:00:00,1.40,Biomass
2021-01-05 04:00:00,0.62,Geothermal
2021-01-05 04:00:00,3.14,Hydro
2021-01-05 04:00:00,0.00,Photovoltaic
2021-01-05 04:00:00,1.92,Wind
2021-01-05 05:00:00,1.44,Biomass
2021-01-05 05:00:00,0.62,Geothermal
2021-01-05 05:00:00,3.25,Hydro
2021-01-05 05:00:00,0.00,Photovoltaic
2021-01-05 05:00:00,2.08,Wind
2021-01-05 06:00:00,1.52,Biomass
2021-01-05 06:00:00,0.62,Geothermal
2021-01-05 06:00:00,3.78,Hydro
2021-01-05 06:00:00,0.00,Photovoltaic
2021-01-05 06:00:00,2.32,Wind
2021-01-05 07:00:00,1.60,Biomass
2021-01-05 07:00:00,0.62,Geothermal
2021-01-05 07:00:00,5.17,Hydro
2021-01-05 07:00:00,0.10,Photovoltaic
2021-01-05 07:00:00,2.49,Wind
2021-01-05 08:00:00,1.70,Biomass
2021-01-05 08:00:00,0.62,Geothermal
2021-01-05 08:00:00,6.97,Hydro
2021-01-05 08:00:00,0.75,Photovoltaic
2021-01-05 08:00:00,2.73,Wind
2021-01-05 09:00:00,1.71,Biomass
2021-01-05 09:00:00,0.61,Geothermal
2021-01-05 09:00:00,7.75,Hydro
2021-01-05 09:00:00,1.67,Photovoltaic
2021-01-05 09:00:00,2.83,Wind
2021-01-05 10:00:00,1.71,Biomass
2021-01-05 10:00:00,0.62,Geothermal
2021-01-05 10:00:00,7.73,Hydro
2021-01-05 10:00:00,2.51,Photovoltaic
2021-01-05 10:00:00,3.25,Wind
2021-01-05 11:00:00,1.75,Biomass
2021-01-05 11:00:00,0.62,Geothermal
2021-01-05 11:00:00,7.49,Hydro
2021-01-05 11:00:00,2.72,Photovoltaic
