name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Provincia di Campobasso,26/04/2021 23:15:04 PM,26/04/2021 21:15 PM,centro_sud,100,overcast clouds,1004,58,11.07,0,0,239,2.19
Naples,26/04/2021 23:15:04 PM,26/04/2021 21:15 PM,sud,0,clear sky,1009,67,15.98,0,0,0,0.51
Bari,26/04/2021 23:15:04 PM,26/04/2021 21:15 PM,sud,0,clear sky,1010,63,16.4,0,0,160,4.63
Potenza,26/04/2021 23:15:05 PM,26/04/2021 21:15 PM,sud,100,overcast clouds,1013,81,11.11,0,0,216,1.79
Province of Palermo,26/04/2021 23:15:05 PM,26/04/2021 21:15 PM,sicilia,0,clear sky,1007,48,18.9,0,0,70,4.63
Sardinia,26/04/2021 23:15:05 PM,26/04/2021 21:15 PM,sardegna,68,broken clouds,1006,93,15.0,0,0,297,0.45
Catanzaro,26/04/2021 23:15:06 PM,26/04/2021 21:15 PM,calabria,75,broken clouds,1011,72,14.24,0,0,70,8.75
Valle d'Aosta,26/04/2021 23:30:06 PM,26/04/2021 21:30 PM,nord,100,overcast clouds,1004,80,6.53,0,0,111,1.87
Provincia di Genova,26/04/2021 23:30:06 PM,26/04/2021 21:30 PM,nord,100,overcast clouds,1005,76,12.64,0,0,201,0.89
Province of Turin,26/04/2021 23:30:06 PM,26/04/2021 21:30 PM,nord,100,light rain,1009,95,9.31,{'1h': 0.75},0,33,0.21
Milan,26/04/2021 23:30:00 PM,26/04/2021 21:30 PM,nord,75,broken clouds,1012,87,12.03,0,0,90,2.57
Trento,26/04/2021 23:30:07 PM,26/04/2021 21:30 PM,nord,90,fog,1012,100,7.49,0,0,200,3.6
Venice,26/04/2021 23:30:07 PM,26/04/2021 21:30 PM,nord,20,few clouds,1013,76,12.18,0,0,0,1.03
Bologna,26/04/2021 23:30:07 PM,26/04/2021 21:30 PM,nord,75,light rain,1011,87,12.36,{'1h': 0.65},0,40,3.6
Trieste,26/04/2021 23:26:30 PM,26/04/2021 21:30 PM,nord,90,overcast clouds,1013,82,10.99,0,0,56,2.24
Provincia di Perugia,26/04/2021 23:30:08 PM,26/04/2021 21:30 PM,centro_nord,20,few clouds,1010,62,13.65,0,0,330,2.06
Florence,26/04/2021 23:28:42 PM,26/04/2021 21:30 PM,centro_nord,40,moderate rain,1010,77,14.25,{'1h': 1.7},0,340,2.57
Provincia di Ancona,26/04/2021 23:30:08 PM,26/04/2021 21:30 PM,centro_nord,90,overcast clouds,1011,88,13.21,0,0,70,2.57
L'Aquila,26/04/2021 23:30:08 PM,26/04/2021 21:30 PM,centro_sud,100,overcast clouds,1013,52,10.52,0,0,210,3.6
Rome,26/04/2021 23:30:09 PM,26/04/2021 21:30 PM,centro_sud,0,clear sky,1009,51,15.01,0,0,80,1.54
L'Aquila,26/04/2021 23:30:08 PM,26/04/2021 21:30 PM,centro_sud,100,overcast clouds,1013,52,10.52,0,0,210,3.6
Rome,26/04/2021 23:30:09 PM,26/04/2021 21:30 PM,centro_sud,0,clear sky,1009,51,15.01,0,0,80,1.54
Provincia di Campobasso,26/04/2021 23:30:09 PM,26/04/2021 21:30 PM,centro_sud,100,overcast clouds,1004,61,10.7,0,0,239,1.98
Naples,26/04/2021 23:26:45 PM,26/04/2021 21:30 PM,sud,0,clear sky,1009,67,15.99,0,0,0,0.51
Bari,26/04/2021 23:30:10 PM,26/04/2021 21:30 PM,sud,0,clear sky,1010,63,16.5,0,0,160,4.63
Potenza,26/04/2021 23:30:10 PM,26/04/2021 21:30 PM,sud,98,overcast clouds,1013,83,10.0,0,0,225,0.89
Province of Palermo,26/04/2021 23:30:10 PM,26/04/2021 21:30 PM,sicilia,0,clear sky,1007,48,18.69,0,0,70,4.63
Sardinia,26/04/2021 23:30:11 PM,26/04/2021 21:30 PM,sardegna,90,mist,1006,94,16.0,0,0,230,1.54
Catanzaro,26/04/2021 23:30:11 PM,26/04/2021 21:30 PM,calabria,75,broken clouds,1011,72,14.23,0,0,70,8.75
Valle d'Aosta,26/04/2021 23:45:11 PM,26/04/2021 21:45 PM,nord,100,overcast clouds,1004,80,6.51,0,0,113,0.45
Provincia di Genova,26/04/2021 23:43:26 PM,26/04/2021 21:45 PM,nord,100,light rain,1005,77,12.64,{'1h': 0.46},0,5,0.89
Province of Turin,26/04/2021 23:45:11 PM,26/04/2021 21:45 PM,nord,100,light rain,1009,94,9.08,{'1h': 0.56},0,248,0.45
Milan,26/04/2021 23:44:22 PM,26/04/2021 21:45 PM,nord,75,broken clouds,1012,87,11.98,0,0,100,2.06
Trento,26/04/2021 23:45:12 PM,26/04/2021 21:45 PM,nord,90,fog,1012,100,7.6,0,0,200,3.6
Venice,26/04/2021 23:45:12 PM,26/04/2021 21:45 PM,nord,40,scattered clouds,1012,76,11.81,0,0,350,2.06
Bologna,26/04/2021 23:45:12 PM,26/04/2021 21:45 PM,nord,75,moderate rain,1011,94,12.36,{'1h': 1.15},0,60,3.09
Trieste,26/04/2021 23:44:28 PM,26/04/2021 21:45 PM,nord,75,broken clouds,1013,82,11.02,0,0,59,2.13
Provincia di Perugia,26/04/2021 23:45:13 PM,26/04/2021 21:45 PM,centro_nord,40,light rain,1009,67,13.3,{'1h': 0.27},0,350,2.57
Florence,26/04/2021 23:42:05 PM,26/04/2021 21:45 PM,centro_nord,75,light rain,1009,72,13.93,{'1h': 0.46},0,50,3.6
Provincia di Ancona,26/04/2021 23:45:13 PM,26/04/2021 21:45 PM,centro_nord,75,broken clouds,1011,88,13.04,0,0,70,2.06
L'Aquila,26/04/2021 23:45:13 PM,26/04/2021 21:45 PM,centro_sud,100,overcast clouds,1013,52,8.81,0,0,210,3.6
Rome,26/04/2021 23:45:14 PM,26/04/2021 21:45 PM,centro_sud,0,clear sky,1008,51,14.46,0,0,0,0.51
L'Aquila,26/04/2021 23:45:13 PM,26/04/2021 21:45 PM,centro_sud,100,overcast clouds,1013,52,8.81,0,0,210,3.6
Rome,26/04/2021 23:45:14 PM,26/04/2021 21:45 PM,centro_sud,0,clear sky,1008,51,14.46,0,0,0,0.51
Provincia di Campobasso,26/04/2021 23:45:14 PM,26/04/2021 21:45 PM,centro_sud,100,overcast clouds,1004,61,10.5,0,0,239,1.98
Naples,26/04/2021 23:43:18 PM,26/04/2021 21:45 PM,sud,0,clear sky,1009,67,15.59,0,0,310,1.54
Bari,26/04/2021 23:45:14 PM,26/04/2021 21:45 PM,sud,0,clear sky,1010,63,16.39,0,0,150,3.6
Potenza,26/04/2021 23:45:15 PM,26/04/2021 21:45 PM,sud,98,overcast clouds,1013,84,9.44,0,0,192,1.94
Province of Palermo,26/04/2021 23:43:55 PM,26/04/2021 21:45 PM,sicilia,100,overcast clouds,973,68,15.26,0,0,160,3.97
Sardinia,26/04/2021 23:45:15 PM,26/04/2021 21:45 PM,sardegna,90,mist,1006,94,16.0,0,0,230,1.54
Catanzaro,26/04/2021 23:45:16 PM,26/04/2021 21:45 PM,calabria,75,broken clouds,1010,77,13.94,0,0,80,9.77
Valle d'Aosta,27/04/2021 00:15:00 AM,26/04/2021 22:15 PM,nord,100,overcast clouds,1004,79,6.69,0,0,45,0.45
Provincia di Genova,27/04/2021 00:15:00 AM,26/04/2021 22:15 PM,nord,100,light rain,1010,80,12.86,{'1h': 0.87},0,44,2.24
Province of Turin,27/04/2021 00:15:00 AM,26/04/2021 22:15 PM,nord,100,light rain,1008,94,9.07,{'1h': 0.75},0,248,0.89
Milan,27/04/2021 00:15:01 AM,26/04/2021 22:15 PM,nord,75,light intensity drizzle,1012,87,11.87,0,0,110,2.06
Trento,27/04/2021 00:14:36 AM,26/04/2021 22:15 PM,nord,90,fog,1012,100,7.47,0,0,200,3.6
Venice,27/04/2021 00:15:01 AM,26/04/2021 22:15 PM,nord,40,scattered clouds,1012,82,11.81,0,0,10,2.06
Bologna,27/04/2021 00:15:01 AM,26/04/2021 22:15 PM,nord,75,light rain,1012,87,12.36,{'1h': 0.87},0,80,2.06
Trieste,27/04/2021 00:15:02 AM,26/04/2021 22:15 PM,nord,90,overcast clouds,1012,87,11.3,0,0,120,1.03
Provincia di Perugia,27/04/2021 00:15:02 AM,26/04/2021 22:15 PM,centro_nord,40,scattered clouds,1009,67,12.8,0,0,360,3.09
