name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Sardinia,27/04/2021 18:00:00 PM,,sardegna,78,broken clouds,1006,65,289.58,0.0,0.0,248,2.91
Province of Palermo,27/04/2021 18:00:00 PM,,sicilia,15,few clouds,1007,64,291.32,0.0,0.0,20,2.36
Milan,27/04/2021 19:00:00 PM,,nord,100,overcast clouds,1009,79,284.23,0.0,0.0,104,1.87
Florence,27/04/2021 19:00:00 PM,,centro_nord,100,overcast clouds,1006,91,286.22,0.0,0.0,16,1.55
Potenza,27/04/2021 19:00:00 PM,,sud,18,few clouds,1006,76,288.14,0.0,0.0,240,1.83
Provincia di Genova,27/04/2021 19:00:00 PM,,nord,100,overcast clouds,1007,90,281.91,0.13,0.0,355,2.06
Trento,27/04/2021 19:00:00 PM,,nord,100,overcast clouds,1009,94,284.12,0.0,0.0,191,0.56
Bologna,27/04/2021 19:00:00 PM,,nord,100,light rain,1008,95,284.57,0.33,0.0,70,2.44
Sardinia,27/04/2021 19:00:00 PM,,sardegna,64,broken clouds,1006,71,288.31,0.0,0.0,252,2.05
Provincia di Ancona,27/04/2021 19:00:00 PM,,centro_nord,100,light rain,1007,94,284.63,0.22,0.0,359,2.95
Provincia di Perugia,27/04/2021 19:00:00 PM,,centro_nord,99,light rain,1006,85,286.96,0.12,0.0,347,1.92
Venice,27/04/2021 19:00:00 PM,,nord,100,overcast clouds,1008,72,286.21,0.0,0.0,48,2.71
Province of Palermo,27/04/2021 19:00:00 PM,,sicilia,26,scattered clouds,1007,74,289.06,0.0,0.0,25,2.24
Bari,27/04/2021 19:00:00 PM,,sud,59,broken clouds,1005,73,291.35,0.0,0.0,164,5.11
Trieste,27/04/2021 19:00:00 PM,,nord,100,light rain,1009,90,282.77,0.5,0.0,71,3.36
Catanzaro,27/04/2021 19:00:00 PM,,calabria,49,scattered clouds,1007,74,290.34,0.0,0.0,254,1.86
Rome,27/04/2021 19:00:00 PM,,centro_sud,99,moderate rain,1005,90,289.32,1.12,0.0,202,3.07
Valle d'Aosta,27/04/2021 19:00:00 PM,,nord,100,overcast clouds,1007,89,276.51,0.0,0.0,104,1.58
Provincia di Campobasso,27/04/2021 19:00:00 PM,,centro_sud,85,overcast clouds,1006,84,288.73,0.0,0.0,213,0.86
Naples,27/04/2021 19:00:00 PM,,sud,73,broken clouds,1007,83,289.95,0.0,0.0,174,4.4
Province of Turin,27/04/2021 19:00:00 PM,,nord,100,light rain,1009,96,280.49,0.14,0.0,109,1.25
L'Aquila,27/04/2021 19:00:00 PM,,centro_sud,85,light rain,1005,85,286.79,0.64,0.0,179,1.11
Potenza,27/04/2021 20:00:00 PM,,sud,29,scattered clouds,1007,83,285.22,0.0,0.0,220,2.06
Trento,27/04/2021 20:00:00 PM,,nord,100,overcast clouds,1009,95,283.82,0.0,0.0,198,0.37
Bologna,27/04/2021 20:00:00 PM,,nord,100,light rain,1009,95,284.38,0.24,0.0,79,2.11
Trieste,27/04/2021 20:00:00 PM,,nord,100,light rain,1009,89,282.68,0.27,0.0,69,3.04
Province of Palermo,27/04/2021 20:00:00 PM,,sicilia,24,few clouds,1008,84,285.22,0.0,0.0,26,2.0
Florence,27/04/2021 20:00:00 PM,,centro_nord,100,light rain,1007,93,285.85,0.13,0.0,32,1.85
Venice,27/04/2021 20:00:00 PM,,nord,100,overcast clouds,1009,75,285.73,0.0,0.0,59,2.77
L'Aquila,27/04/2021 20:00:00 PM,,centro_sud,88,light rain,1006,92,284.96,0.87,0.0,145,1.11
Bari,27/04/2021 20:00:00 PM,,sud,60,broken clouds,1006,79,290.03,0.0,0.0,169,5.6
Rome,27/04/2021 20:00:00 PM,,centro_sud,100,light rain,1006,92,288.34,0.9,0.0,195,1.79
Provincia di Genova,27/04/2021 20:00:00 PM,,nord,100,overcast clouds,1007,92,281.42,0.13,0.0,358,2.07
Provincia di Campobasso,27/04/2021 20:00:00 PM,,centro_sud,87,overcast clouds,1007,92,286.62,0.0,0.0,213,0.69
Province of Turin,27/04/2021 20:00:00 PM,,nord,100,light rain,1009,97,280.22,0.11,0.0,113,1.12
Valle d'Aosta,27/04/2021 20:00:00 PM,,nord,100,overcast clouds,1008,92,276.0,0.0,0.0,108,1.45
Naples,27/04/2021 20:00:00 PM,,sud,78,broken clouds,1007,86,289.52,0.0,0.0,165,3.69
Provincia di Perugia,27/04/2021 20:00:00 PM,,centro_nord,99,light rain,1007,91,285.82,0.3,0.0,4,1.55
Catanzaro,27/04/2021 20:00:00 PM,,calabria,49,scattered clouds,1008,78,288.13,0.0,0.0,289,2.21
Milan,27/04/2021 20:00:00 PM,,nord,99,overcast clouds,1009,80,283.86,0.0,0.0,106,1.48
Sardinia,27/04/2021 20:00:00 PM,,sardegna,54,broken clouds,1007,87,285.41,0.0,0.0,234,1.18
Provincia di Ancona,27/04/2021 20:00:00 PM,,centro_nord,100,light rain,1008,94,284.42,0.3,0.0,358,2.75
Provincia di Ancona,27/04/2021 21:00:00 PM,,centro_nord,100,light rain,1008,95,284.19,0.32,0.0,346,1.96
Provincia di Perugia,27/04/2021 21:00:00 PM,,centro_nord,100,light rain,1007,93,285.48,0.28,0.0,24,1.55
Provincia di Campobasso,27/04/2021 21:00:00 PM,,centro_sud,99,overcast clouds,1008,95,285.56,0.0,0.0,225,0.93
Catanzaro,27/04/2021 21:00:00 PM,,calabria,11,few clouds,1008,72,287.81,0.0,0.0,300,2.35
Trieste,27/04/2021 21:00:00 PM,,nord,100,light rain,1010,89,282.6,0.19,0.0,68,2.79
Bari,27/04/2021 21:00:00 PM,,sud,100,overcast clouds,1007,82,289.45,0.0,0.0,173,5.45
Province of Palermo,27/04/2021 21:00:00 PM,,sicilia,12,few clouds,1009,86,284.09,0.0,0.0,26,1.52
Venice,27/04/2021 21:00:00 PM,,nord,100,overcast clouds,1009,76,285.53,0.0,0.0,76,3.21
Florence,27/04/2021 21:00:00 PM,,centro_nord,100,overcast clouds,1007,93,285.72,0.13,0.0,34,1.85
Valle d'Aosta,27/04/2021 21:00:00 PM,,nord,100,overcast clouds,1008,91,275.73,0.0,0.0,103,1.31
Provincia di Genova,27/04/2021 21:00:00 PM,,nord,100,overcast clouds,1008,92,281.12,0.13,0.0,359,2.16
Rome,27/04/2021 21:00:00 PM,,centro_sud,100,light rain,1006,93,287.72,0.48,0.0,197,1.05
Naples,27/04/2021 21:00:00 PM,,sud,100,overcast clouds,1007,87,289.33,0.0,0.0,131,4.36
Trento,27/04/2021 21:00:00 PM,,nord,100,overcast clouds,1010,95,283.75,0.0,0.0,196,0.43
Sardinia,27/04/2021 21:00:00 PM,,sardegna,1,clear sky,1008,93,283.78,0.0,0.0,156,0.45
Province of Turin,27/04/2021 21:00:00 PM,,nord,100,overcast clouds,1010,98,280.01,0.11,0.0,115,0.92
Bologna,27/04/2021 21:00:00 PM,,nord,100,light rain,1009,96,284.19,0.28,0.0,79,1.9
Milan,27/04/2021 21:00:00 PM,,nord,96,overcast clouds,1010,81,283.59,0.0,0.0,98,1.24
Potenza,27/04/2021 21:00:00 PM,,sud,87,overcast clouds,1008,85,284.22,0.0,0.0,228,1.98
L'Aquila,27/04/2021 21:00:00 PM,,centro_sud,100,light rain,1007,96,284.48,0.86,0.0,156,1.16
Potenza,27/04/2021 22:00:00 PM,,sud,55,broken clouds,1009,88,282.6,0.0,0.0,226,2.05
Naples,27/04/2021 22:00:00 PM,,sud,100,overcast clouds,1007,86,289.39,0.0,0.0,157,3.82
Sardinia,27/04/2021 22:00:00 PM,,sardegna,1,clear sky,1008,94,283.38,0.0,0.0,87,0.93
Province of Turin,27/04/2021 22:00:00 PM,,nord,100,overcast clouds,1010,98,279.93,0.11,0.0,123,0.62
Trento,27/04/2021 22:00:00 PM,,nord,100,overcast clouds,1010,95,283.7,0.0,0.0,182,0.38
Province of Palermo,27/04/2021 22:00:00 PM,,sicilia,31,scattered clouds,1009,84,283.82,0.0,0.0,22,1.22
Milan,27/04/2021 22:00:00 PM,,nord,97,overcast clouds,1010,81,283.54,0.0,0.0,88,1.28
Provincia di Perugia,27/04/2021 22:00:00 PM,,centro_nord,100,overcast clouds,1007,92,285.31,0.28,0.0,51,1.45
Rome,27/04/2021 22:00:00 PM,,centro_sud,100,light rain,1007,95,287.27,0.59,0.0,229,1.11
L'Aquila,27/04/2021 22:00:00 PM,,centro_sud,100,moderate rain,1007,93,285.0,1.13,0.0,162,1.22
Catanzaro,27/04/2021 22:00:00 PM,,calabria,21,few clouds,1008,67,287.93,0.0,0.0,302,2.52
Bari,27/04/2021 22:00:00 PM,,sud,100,overcast clouds,1007,83,289.32,0.0,0.0,188,5.09
Provincia di Genova,27/04/2021 22:00:00 PM,,nord,100,overcast clouds,1008,93,280.94,0.13,0.0,358,2.18
Provincia di Campobasso,27/04/2021 22:00:00 PM,,centro_sud,100,overcast clouds,1007,96,285.04,0.0,0.0,209,1.02
Valle d'Aosta,27/04/2021 22:00:00 PM,,nord,100,overcast clouds,1009,93,275.4,0.0,0.0,109,1.13
Venice,27/04/2021 22:00:00 PM,,nord,100,overcast clouds,1010,78,285.34,0.0,0.0,72,3.36
Florence,27/04/2021 22:00:00 PM,,centro_nord,100,light rain,1007,93,285.51,0.17,0.0,29,2.12
Provincia di Ancona,27/04/2021 22:00:00 PM,,centro_nord,100,light rain,1009,95,284.08,0.32,0.0,335,2.17
Trieste,27/04/2021 22:00:00 PM,,nord,100,light rain,1010,89,282.53,0.18,0.0,69,2.69
Bologna,27/04/2021 22:00:00 PM,,nord,100,light rain,1009,96,284.02,0.31,0.0,81,1.55
Florence,27/04/2021 23:00:00 PM,,centro_nord,100,overcast clouds,1007,93,285.23,0.17,0.0,29,1.98
Valle d'Aosta,27/04/2021 23:00:00 PM,,nord,100,overcast clouds,1009,94,275.24,0.0,0.0,95,0.88
Bari,27/04/2021 23:00:00 PM,,sud,97,overcast clouds,1007,84,289.06,0.0,0.0,191,4.75
Provincia di Ancona,27/04/2021 23:00:00 PM,,centro_nord,100,overcast clouds,1009,95,284.0,0.32,0.0,319,1.63
Provincia di Perugia,27/04/2021 23:00:00 PM,,centro_nord,100,light rain,1008,93,285.31,0.31,0.0,4,1.14
Rome,27/04/2021 23:00:00 PM,,centro_sud,96,moderate rain,1007,96,286.96,1.09,0.0,182,0.73
Province of Turin,27/04/2021 23:00:00 PM,,nord,100,overcast clouds,1010,98,279.86,0.11,0.0,144,0.44
Catanzaro,27/04/2021 23:00:00 PM,,calabria,45,scattered clouds,1008,64,288.06,0.0,0.0,302,2.45
Milan,27/04/2021 23:00:00 PM,,nord,98,overcast clouds,1010,81,283.51,0.0,0.0,84,1.31
Venice,27/04/2021 23:00:00 PM,,nord,100,overcast clouds,1010,79,285.15,0.0,0.0,61,3.42
Naples,27/04/2021 23:00:00 PM,,sud,81,broken clouds,1008,89,289.03,0.0,0.0,172,3.74
Trento,27/04/2021 23:00:00 PM,,nord,100,overcast clouds,1010,96,283.66,0.0,0.0,172,0.26
Bologna,27/04/2021 23:00:00 PM,,nord,100,light rain,1009,97,283.91,0.22,0.0,72,1.35
Potenza,27/04/2021 23:00:00 PM,,sud,39,scattered clouds,1008,87,282.17,0.0,0.0,200,2.55
Provincia di Genova,27/04/2021 23:00:00 PM,,nord,100,overcast clouds,1008,94,280.77,0.13,0.0,359,2.24
Provincia di Campobasso,27/04/2021 23:00:00 PM,,centro_sud,97,overcast clouds,1008,96,284.62,0.0,0.0,248,1.16
Sardinia,27/04/2021 23:00:00 PM,,sardegna,1,clear sky,1008,93,283.18,0.0,0.0,98,1.18
L'Aquila,27/04/2021 23:00:00 PM,,centro_sud,100,light rain,1007,91,284.86,0.42,0.0,205,1.01
Province of Palermo,27/04/2021 23:00:00 PM,,sicilia,53,broken clouds,1009,81,284.03,0.0,0.0,31,1.13
Trieste,27/04/2021 23:00:00 PM,,nord,100,light rain,1010,90,282.43,0.15,0.0,66,2.82
Province of Palermo,28/04/2021 00:00:00 AM,,sicilia,65,broken clouds,1009,77,284.5,0.0,0.0,40,0.7
Florence,28/04/2021 00:00:00 AM,,centro_nord,100,overcast clouds,1007,93,285.12,0.17,0.0,29,1.63
Trieste,28/04/2021 00:00:00 AM,,nord,100,overcast clouds,1010,89,282.38,0.15,0.0,65,3.02
Valle d'Aosta,28/04/2021 00:00:00 AM,,nord,100,overcast clouds,1009,93,275.09,0.0,0.0,81,0.96
Provincia di Ancona,28/04/2021 00:00:00 AM,,centro_nord,100,light rain,1009,95,283.91,0.11,0.0,305,2.09
Potenza,28/04/2021 00:00:00 AM,,sud,30,scattered clouds,1009,84,281.83,0.0,0.0,204,2.62
Bologna,28/04/2021 00:00:00 AM,,nord,100,light rain,1009,97,283.84,0.11,0.0,64,1.38
Trento,28/04/2021 00:00:00 AM,,nord,100,overcast clouds,1010,96,283.52,0.0,0.0,176,0.25
Bari,28/04/2021 00:00:00 AM,,sud,92,overcast clouds,1007,85,288.9,0.0,0.0,191,4.06
Provincia di Campobasso,28/04/2021 00:00:00 AM,,centro_sud,90,overcast clouds,1008,97,284.18,0.0,0.0,235,1.64
Milan,28/04/2021 00:00:00 AM,,nord,99,overcast clouds,1010,81,283.47,0.0,0.0,81,1.23
Venice,28/04/2021 00:00:00 AM,,nord,100,overcast clouds,1010,79,284.96,0.0,0.0,55,3.57
Rome,28/04/2021 00:00:00 AM,,centro_sud,97,moderate rain,1008,96,286.62,1.14,0.0,182,0.73
