name,date,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2
Milan,08/05/2021 18:00:00 PM,nord,64,broken clouds,1019,51,290.13,0.0,0,112,2.11,326.8,203.42,220.92,492.19,492.19,492.19
Florence,08/05/2021 18:00:00 PM,centro_nord,56,broken clouds,1017,49,294.68,0.0,0,7,2.35,366.69,325.39,203.62,470.74,470.74,470.74
Potenza,08/05/2021 18:00:00 PM,sud,90,overcast clouds,1018,60,290.43,0.0,0,45,2.9,132.23,3.67,130.57,416.84,416.84,416.84
Provincia di Genova,08/05/2021 18:00:00 PM,nord,47,scattered clouds,1018,64,288.05,2.12,0,313,1.6,430.58,564.88,134.57,497.71,497.71,497.71
Trento,08/05/2021 18:00:00 PM,nord,100,overcast clouds,1018,55,291.08,2.12,0,195,2.7,118.04,0.0,118.04,472.17,472.17,472.17
Bologna,08/05/2021 18:00:00 PM,nord,95,overcast clouds,1019,62,290.91,0.0,0,81,2.39,159.22,5.69,156.38,467.01,467.01,467.01
Sardinia,08/05/2021 18:00:00 PM,sardegna,1,clear sky,1018,44,295.16,2.12,0,343,2.82,504.94,769.79,96.78,504.94,504.94,504.94
Provincia di Ancona,08/05/2021 18:00:00 PM,centro_nord,99,overcast clouds,1019,68,288.97,2.12,0,37,1.44,118.06,0.02,118.05,446.91,446.91,446.91
Provincia di Perugia,08/05/2021 18:00:00 PM,centro_nord,76,broken clouds,1017,69,292.62,2.12,0,33,3.73,335.27,285.84,195.82,456.07,456.07,456.07
Venice,08/05/2021 18:00:00 PM,nord,99,overcast clouds,1020,55,289.07,2.62,0,185,1.39,128.7,2.28,127.59,454.2,454.2,454.2
Province of Palermo,08/05/2021 18:00:00 PM,sicilia,2,clear sky,1017,50,291.96,0.0,0,6,3.17,445.45,749.14,87.7,445.45,445.45,445.45
Bari,08/05/2021 18:00:00 PM,sud,37,scattered clouds,1018,60,291.96,0.0,0,347,4.38,384.89,662.93,93.95,400.18,400.18,400.18
Trieste,08/05/2021 18:00:00 PM,nord,83,broken clouds,1019,60,290.0,2.12,0,243,2.14,282.4,187.79,193.83,437.44,437.44,437.44
Catanzaro,08/05/2021 18:00:00 PM,calabria,16,few clouds,1017,60,293.72,0.0,0,287,2.37,401.63,721.62,83.21,404.08,404.08,404.08
Rome,08/05/2021 18:00:00 PM,centro_sud,30,scattered clouds,1017,60,293.96,2.12,0,232,3.87,443.9,707.63,97.71,456.6,456.6,456.6
Valle d'Aosta,08/05/2021 18:00:00 PM,nord,91,overcast clouds,1015,54,285.03,2.12,0,47,0.81,260.13,83.28,215.4,520.22,520.22,520.22
Provincia di Campobasso,08/05/2021 18:00:00 PM,centro_sud,97,overcast clouds,1018,81,290.22,2.12,0,61,2.19,124.84,1.76,124.02,432.26,432.26,432.26
Naples,08/05/2021 18:00:00 PM,sud,7,clear sky,1017,58,293.81,0.0,0,250,2.36,434.04,745.63,84.01,434.09,434.09,434.09
Province of Turin,08/05/2021 18:00:00 PM,nord,93,overcast clouds,1019,75,284.7,0.0,0,102,1.25,212.82,45.05,188.47,518.65,518.65,518.65
L'Aquila,08/05/2021 18:00:00 PM,centro_sud,99,overcast clouds,1018,81,289.38,0.0,0,80,1.48,126.04,2.23,124.97,449.57,449.57,449.57
Potenza,08/05/2021 19:00:00 PM,sud,82,broken clouds,1018,71,288.9,0.0,0,46,2.81,102.3,28.24,94.75,218.2,218.2,218.2
