Date,DayName,Month,Holiday
2020-08-17,Monday,August,no
2020-08-18,Tuesday,August,no
2020-08-19,Wednesday,August,no
2020-08-20,Thursday,August,no
2020-08-21,Friday,August,no
2020-08-22,Saturday,August,half
2020-08-23,Sunday,August,yes
2020-08-24,Monday,August,no
2020-08-25,Tuesday,August,no
2020-08-26,Wednesday,August,no
2020-08-27,Thursday,August,no
2020-08-28,Friday,August,no
2020-08-29,Saturday,August,half
2020-08-30,Sunday,August,yes
2020-08-31,Monday,August,no
2020-09-01,Tuesday,September,no
2020-09-02,Wednesday,September,no
2020-09-03,Thursday,September,no
2020-09-04,Friday,September,no
2020-09-05,Saturday,September,half
2020-09-06,Sunday,September,yes
2020-09-07,Monday,September,no
2020-09-08,Tuesday,September,no
2020-09-09,Wednesday,September,no
2020-09-10,Thursday,September,no
2020-09-11,Friday,September,no
2020-09-12,Saturday,September,half
2020-09-13,Sunday,September,yes
2020-09-14,Monday,September,no
2020-09-15,Tuesday,September,no
2020-09-16,Wednesday,September,no
2020-09-17,Thursday,September,no
2020-09-18,Friday,September,no
2020-09-19,Saturday,September,half
2020-09-20,Sunday,September,yes
2020-09-21,Monday,September,no
2020-09-22,Tuesday,September,no
2020-09-23,Wednesday,September,no
2020-09-24,Thursday,September,no
2020-09-25,Friday,September,no
2020-09-26,Saturday,September,half
2020-09-27,Sunday,September,yes
2020-09-28,Monday,September,no
2020-09-29,Tuesday,September,no
2020-09-30,Wednesday,September,no
2020-10-01,Thursday,October,no
2020-10-02,Friday,October,no
2020-10-03,Saturday,October,half
2020-10-04,Sunday,October,yes
2020-10-05,Monday,October,no
2020-10-06,Tuesday,October,no
2020-10-07,Wednesday,October,no
2020-10-08,Thursday,October,no
2020-10-09,Friday,October,no
2020-10-10,Saturday,October,half
2020-10-11,Sunday,October,yes
2020-10-12,Monday,October,no
2020-10-13,Tuesday,October,no
2020-10-14,Wednesday,October,no
2020-10-15,Thursday,October,no
2020-10-16,Friday,October,no
2020-10-17,Saturday,October,half
2020-10-18,Sunday,October,yes
2020-10-19,Monday,October,no
2020-10-20,Tuesday,October,no
2020-10-21,Wednesday,October,no
2020-10-22,Thursday,October,no
2020-10-23,Friday,October,no
2020-10-24,Saturday,October,half
2020-10-25,Sunday,October,yes
2020-10-26,Monday,October,no
2020-10-27,Tuesday,October,no
2020-10-28,Wednesday,October,no
2020-10-29,Thursday,October,no
2020-10-30,Friday,October,no
2020-10-31,Saturday,October,half
2020-11-01,Sunday,November,yes
2020-11-02,Monday,November,no
2020-11-03,Tuesday,November,no
2020-11-04,Wednesday,November,no
2020-11-05,Thursday,November,no
2020-11-06,Friday,November,no
2020-11-07,Saturday,November,half
2020-11-08,Sunday,November,yes
2020-11-09,Monday,November,no
2020-11-10,Tuesday,November,no
2020-11-11,Wednesday,November,no
2020-11-12,Thursday,November,no
2020-11-13,Friday,November,no
2020-11-14,Saturday,November,half
2020-11-15,Sunday,November,yes
2020-11-16,Monday,November,no
2020-11-17,Tuesday,November,no
2020-11-18,Wednesday,November,no
2020-11-19,Thursday,November,no
2020-11-20,Friday,November,no
2020-11-21,Saturday,November,half
2020-11-22,Sunday,November,yes
2020-11-23,Monday,November,no
2020-11-24,Tuesday,November,no
2020-11-25,Wednesday,November,no
2020-11-26,Thursday,November,no
2020-11-27,Friday,November,no
2020-11-28,Saturday,November,half
2020-11-29,Sunday,November,yes
2020-11-30,Monday,November,no
2020-12-01,Tuesday,December,no
