Date,Renewable Generation [GWh],Energy Source
2021-06-11 13:00:00,1.93,Biomass
2021-06-11 14:00:00,2.10,Biomass
2021-06-11 15:00:00,2.18,Biomass
2021-06-11 16:00:00,2.28,Biomass
2021-06-11 17:00:00,2.30,Biomass
2021-06-11 18:00:00,2.40,Biomass
2021-06-11 19:00:00,2.40,Biomass
2021-06-11 20:00:00,2.38,Biomass
2021-06-11 21:00:00,2.28,Biomass
2021-06-11 22:00:00,2.18,Biomass
2021-06-11 23:00:00,1.91,Biomass
2021-06-12 00:00:00,1.69,Biomass
2021-06-12 01:00:00,1.70,Biomass
2021-06-12 02:00:00,1.64,Biomass
2021-06-12 03:00:00,1.67,Biomass
2021-06-12 04:00:00,1.64,Biomass
2021-06-12 05:00:00,1.61,Biomass
2021-06-12 06:00:00,1.60,Biomass
2021-06-12 07:00:00,1.67,Biomass
2021-06-12 08:00:00,1.72,Biomass
2021-06-12 09:00:00,1.82,Biomass
2021-06-12 10:00:00,1.76,Biomass
2021-06-12 11:00:00,1.73,Biomass
2021-06-12 12:00:00,1.71,Biomass
2021-06-12 13:00:00,1.60,Biomass
2021-06-12 14:00:00,1.54,Biomass
2021-06-12 15:00:00,1.52,Biomass
2021-06-12 16:00:00,1.59,Biomass
2021-06-12 17:00:00,1.74,Biomass
2021-06-12 18:00:00,1.90,Biomass
2021-06-12 19:00:00,2.03,Biomass
2021-06-12 20:00:00,2.03,Biomass
2021-06-12 21:00:00,2.03,Biomass
2021-06-12 22:00:00,1.91,Biomass
2021-06-12 23:00:00,1.81,Biomass
2021-06-13 00:00:00,1.41,Biomass
2021-06-13 01:00:00,1.32,Biomass
2021-06-13 02:00:00,1.26,Biomass
2021-06-13 03:00:00,1.25,Biomass
2021-06-13 04:00:00,1.27,Biomass
2021-06-13 05:00:00,1.29,Biomass
2021-06-13 06:00:00,1.28,Biomass
2021-06-13 07:00:00,1.29,Biomass
2021-06-13 08:00:00,1.24,Biomass
2021-06-13 09:00:00,1.26,Biomass
2021-06-13 10:00:00,1.31,Biomass
2021-06-13 11:00:00,1.27,Biomass
2021-06-13 12:00:00,1.27,Biomass
2021-06-13 13:00:00,1.20,Biomass
2021-06-13 14:00:00,1.18,Biomass
2021-06-13 15:00:00,1.23,Biomass
2021-06-13 16:00:00,1.33,Biomass
2021-06-13 17:00:00,1.43,Biomass
2021-06-13 18:00:00,1.59,Biomass
2021-06-13 19:00:00,1.81,Biomass
2021-06-13 20:00:00,1.97,Biomass
2021-06-13 21:00:00,2.02,Biomass
2021-06-13 22:00:00,2.02,Biomass
2021-06-13 23:00:00,1.96,Biomass
2021-06-14 00:00:00,1.63,Biomass
2021-06-14 01:00:00,1.58,Biomass
2021-06-14 02:00:00,1.51,Biomass
2021-06-14 03:00:00,1.49,Biomass
2021-06-14 04:00:00,1.51,Biomass
2021-06-14 05:00:00,1.59,Biomass
2021-06-14 06:00:00,1.77,Biomass
2021-06-14 07:00:00,2.14,Biomass
2021-06-14 08:00:00,2.26,Biomass
2021-06-14 09:00:00,2.33,Biomass
2021-06-14 10:00:00,2.29,Biomass
2021-06-14 11:00:00,2.29,Biomass
2021-06-14 12:00:00,2.20,Biomass
2021-06-14 13:00:00,2.25,Biomass
2021-06-14 14:00:00,2.41,Biomass
2021-06-14 15:00:00,2.52,Biomass
2021-06-14 16:00:00,2.55,Biomass
2021-06-14 17:00:00,2.55,Biomass
2021-06-14 18:00:00,2.56,Biomass
2021-06-14 19:00:00,2.61,Biomass
2021-06-14 20:00:00,2.63,Biomass
2021-06-14 21:00:00,2.60,Biomass
2021-06-14 22:00:00,2.53,Biomass
2021-06-14 23:00:00,2.32,Biomass
2021-06-15 00:00:00,2.14,Biomass
2021-06-15 01:00:00,2.09,Biomass
2021-06-15 02:00:00,2.06,Biomass
2021-06-15 03:00:00,2.09,Biomass
2021-06-15 04:00:00,2.07,Biomass
2021-06-15 05:00:00,2.08,Biomass
2021-06-15 06:00:00,2.24,Biomass
2021-06-15 07:00:00,2.41,Biomass
2021-06-15 08:00:00,2.54,Biomass
2021-06-15 09:00:00,2.51,Biomass
2021-06-15 10:00:00,2.53,Biomass
2021-06-15 11:00:00,2.50,Biomass
2021-06-15 12:00:00,2.50,Biomass
2021-06-15 13:00:00,2.53,Biomass
2021-06-15 14:00:00,2.56,Biomass
2021-06-15 15:00:00,2.59,Biomass
2021-06-15 16:00:00,2.66,Biomass
2021-06-15 17:00:00,2.63,Biomass
2021-06-15 18:00:00,2.60,Biomass
2021-06-15 19:00:00,2.65,Biomass
2021-06-15 20:00:00,2.66,Biomass
2021-06-15 21:00:00,2.68,Biomass
2021-06-15 22:00:00,2.64,Biomass
2021-06-15 23:00:00,2.43,Biomass
2021-06-16 00:00:00,2.11,Biomass
2021-06-16 01:00:00,2.08,Biomass
2021-06-16 02:00:00,1.99,Biomass
2021-06-16 03:00:00,1.99,Biomass
2021-06-16 04:00:00,1.99,Biomass
2021-06-16 05:00:00,2.00,Biomass
2021-06-16 06:00:00,2.17,Biomass
2021-06-16 07:00:00,2.36,Biomass
2021-06-16 08:00:00,2.50,Biomass
2021-06-16 09:00:00,2.53,Biomass
2021-06-16 10:00:00,2.51,Biomass
2021-06-16 11:00:00,2.48,Biomass
2021-06-16 12:00:00,2.48,Biomass
2021-06-16 13:00:00,2.57,Biomass
2021-06-16 14:00:00,2.64,Biomass
2021-06-16 15:00:00,2.64,Biomass
